seq_name    length  plasX   yaml    z   
Ruby_Borg_SR-VP_9_9_2021_75_5A_0_95m_2_SR-VP_9_9_2021_87_5B_1_2m_curated	922385	6538148	60	61
Cobalt_Borg_SR-VP_9_9_2021_49_3B_1_65m_curated	1078846	7476021	60	61
BLACK-SR-VP_26_10_2019_C_40cm_scaffold_23_FINAL_IR	901883	8572970	60	61
ORANGE_SR-VP_26_10_2019_2_100cm_FINAL	974068	9489981	60	61
Ochre_SR-VP_26_10_2020_2_100CM_FINAL_FINAL	725447	10480390	60	61
Viridian_Borg_SR-VP_9_9_2021_75_5A_0_95m_2_curated	673463	11218050	60	61
Iris_Borg_SR-VP_9_9_2021_87_5B_1_2m_2_curated	845347	11902850	60	61
Amber_Borg_SR-VP_9_9_2021_87_5B_1_2m_2_complete	1041317	12762403	60	61
SR-VP_9_9_2021_65_4B_1_25m_Amethyst_Borg_complete	1060114	13821196	60	61
Green_Borg_SRVP_2020_100_cm_2_FINAL-FINAL	1094519	14899083	60	61
ROSE_SR-VP_0-2_FINAL	623782	16011906	60	61
LC_01_combined_scaffold_734276	55458	16646163	60	61
Red_Borg_Corona_Mine_final	685823	16702620	60	61
LILAC_RifSed_csp1_19ft_2_test_LILAC_rev17_terminal_repeats-final	661708	17399998	60	61
SRVP18_hole-7m-from-trench_1_80cm_scaf_35_ext_315-rev_6-w_terminal_repeats	763094	18072882	60	61
SRVP18_trench_6_60cm_scaf_214_117_86_FINAL	918293	18848806	60	61
Brown_BROWN-SR-VP_26_10_2019_2_100cm_FINAL	937932	19782510	60	61
Maroon_Borg_Curated_with_gaps_TR-FINAL	634389	20736173	60	61
FINAL_Emerald_Borg_35_17_with_NANOPORE_100cm-2_curated	617114	21381266	60	61
